timestamp,step_name,metric_a_value,metric_b_value,log_level,message
2025-12-17T14:03:37.219098,Initialization,41.65,45.94,INFO,Executing Initialization - processed chunk 65
2025-12-17T14:03:43.219098,Initialization,15.20,49.98,INFO,Executing Initialization - processed chunk 28
2025-12-17T14:03:46.219098,Initialization,53.20,48.74,INFO,Executing Initialization - processed chunk 61
2025-12-17T14:03:51.219098,Initialization,87.48,46.71,INFO,Executing Initialization - processed chunk 25
2025-12-17T14:03:54.219098,Initialization,32.89,37.13,INFO,Executing Initialization - processed chunk 64
2025-12-17T14:04:00.219098,Initialization,21.25,39.94,INFO,Executing Initialization - processed chunk 70
2025-12-17T14:04:03.219098,Initialization,31.20,39.93,INFO,Executing Initialization - processed chunk 26
2025-12-17T14:04:07.219098,Initialization,47.16,26.54,INFO,Executing Initialization - processed chunk 68
2025-12-17T14:04:09.219098,Initialization,80.09,47.19,INFO,Executing Initialization - processed chunk 2
2025-12-17T14:04:15.219098,Initialization,99.76,19.97,INFO,Executing Initialization - processed chunk 73
2025-12-17T14:04:20.219098,Initialization,86.47,12.48,INFO,Executing Initialization - processed chunk 43
2025-12-17T14:04:21.219098,Initialization,94.48,24.64,INFO,Executing Initialization - processed chunk 12
2025-12-17T14:04:22.219098,Initialization,82.18,47.85,INFO,Executing Initialization - processed chunk 7
2025-12-17T14:04:23.219098,Initialization,51.11,32.66,INFO,Executing Initialization - processed chunk 13
2025-12-17T14:04:25.219098,Initialization,51.14,7.72,INFO,Executing Initialization - processed chunk 93
2025-12-17T14:04:27.219098,Data Fetching,16.61,33.47,INFO,Executing Data Fetching - processed chunk 61
2025-12-17T14:04:29.219098,Data Fetching,65.42,19.92,INFO,Executing Data Fetching - processed chunk 21
2025-12-17T14:04:34.219098,Data Fetching,67.47,18.04,INFO,Executing Data Fetching - processed chunk 97
2025-12-17T14:04:35.219098,Data Fetching,80.87,23.99,INFO,Executing Data Fetching - processed chunk 98
2025-12-17T14:04:41.219098,Data Fetching,15.78,21.42,INFO,Executing Data Fetching - processed chunk 44
2025-12-17T14:04:47.219098,Data Fetching,39.25,26.37,INFO,Executing Data Fetching - processed chunk 71
2025-12-17T14:04:53.219098,Data Fetching,72.96,49.71,INFO,Executing Data Fetching - processed chunk 62
2025-12-17T14:04:57.219098,Data Fetching,84.94,40.06,INFO,Executing Data Fetching - processed chunk 64
2025-12-17T14:05:01.219098,Data Fetching,61.40,7.72,INFO,Executing Data Fetching - processed chunk 90
2025-12-17T14:05:06.219098,Data Fetching,58.32,2.51,INFO,Executing Data Fetching - processed chunk 70
2025-12-17T14:05:12.219098,Data Fetching,99.17,11.17,INFO,Executing Data Fetching - processed chunk 27
2025-12-17T14:05:14.219098,Data Fetching,90.14,48.77,INFO,Executing Data Fetching - processed chunk 97
2025-12-17T14:05:15.219098,Data Fetching,60.76,29.04,INFO,Executing Data Fetching - processed chunk 65
2025-12-17T14:05:21.219098,Data Fetching,74.75,32.58,INFO,Executing Data Fetching - processed chunk 55
2025-12-17T14:05:25.219098,Processing,83.90,21.29,INFO,Executing Processing - processed chunk 48
2025-12-17T14:05:36.219098,Processing,82.63,46.38,INFO,Executing Processing - processed chunk 26
2025-12-17T14:05:52.219098,Processing,79.60,24.45,INFO,Executing Processing - processed chunk 82
2025-12-17T14:05:59.219098,Processing,86.83,39.59,INFO,Executing Processing - processed chunk 69
2025-12-17T14:06:13.219098,Processing,0.70,6.52,INFO,Executing Processing - processed chunk 97
2025-12-17T14:06:24.219098,Validation,29.43,34.31,INFO,Executing Validation - processed chunk 47
2025-12-17T14:06:28.219098,Validation,66.56,39.49,INFO,Executing Validation - processed chunk 85
2025-12-17T14:06:33.219098,Validation,9.97,12.44,INFO,Executing Validation - processed chunk 47
2025-12-17T14:06:37.219098,Validation,28.31,49.11,INFO,Executing Validation - processed chunk 42
2025-12-17T14:06:38.219098,Validation,26.38,9.62,INFO,Executing Validation - processed chunk 5
2025-12-17T14:06:42.219098,Validation,94.59,13.61,INFO,Executing Validation - processed chunk 31
2025-12-17T14:06:50.219098,Validation,75.35,17.25,INFO,Executing Validation - processed chunk 58
2025-12-17T14:06:57.219098,Validation,76.06,34.49,INFO,Executing Validation - processed chunk 24
2025-12-17T14:06:59.219098,Archiving,65.13,48.72,INFO,Executing Archiving - processed chunk 66
2025-12-17T14:07:00.219098,Archiving,49.16,10.91,INFO,Executing Archiving - processed chunk 46
2025-12-17T14:07:01.219098,Archiving,24.16,32.90,INFO,Executing Archiving - processed chunk 27
2025-12-17T14:07:02.219098,Archiving,40.64,44.29,INFO,Executing Archiving - processed chunk 36
2025-12-17T14:07:17.219098,Archiving,50.85,48.72,INFO,Executing Archiving - processed chunk 3
2025-12-17T14:07:27.219098,Archiving,27.99,22.86,INFO,Executing Archiving - processed chunk 16
