timestamp,step_name,metric_a_value,metric_b_value,log_level,message
2025-11-25T05:03:51.219098,Initialization,95.80,31.55,INFO,Executing Initialization - processed chunk 76
2025-11-25T05:04:12.219098,Initialization,23.08,49.18,INFO,Executing Initialization - processed chunk 99
2025-11-25T05:04:14.219098,Initialization,47.85,5.42,INFO,Executing Initialization - processed chunk 12
2025-11-25T05:04:23.219098,Initialization,62.17,20.24,INFO,Executing Initialization - processed chunk 84
2025-11-25T05:04:32.219098,Initialization,95.72,22.68,INFO,Executing Initialization - processed chunk 60
2025-11-25T05:04:35.219098,Initialization,80.08,12.57,INFO,Executing Initialization - processed chunk 19
2025-11-25T05:04:51.219098,Data Fetching,80.29,35.55,INFO,Executing Data Fetching - processed chunk 90
2025-11-25T05:04:54.219098,Data Fetching,7.95,47.19,INFO,Executing Data Fetching - processed chunk 98
2025-11-25T05:05:00.219098,Data Fetching,84.90,48.65,INFO,Executing Data Fetching - processed chunk 28
2025-11-25T05:05:12.219098,Data Fetching,97.39,26.67,ERROR,Executing Data Fetching - processed chunk 63
2025-11-25T05:05:31.219098,Data Fetching,64.88,31.07,INFO,Executing Data Fetching - processed chunk 66
2025-11-25T05:05:50.219098,Data Fetching,61.48,46.16,INFO,Executing Data Fetching - processed chunk 66
2025-11-25T05:05:51.219098,Data Fetching,16.57,23.62,INFO,Executing Data Fetching - processed chunk 34
2025-11-25T05:05:55.219098,Data Fetching,71.37,18.91,INFO,Executing Data Fetching - processed chunk 16
2025-11-25T05:06:07.219098,Data Fetching,45.29,44.26,INFO,Executing Data Fetching - processed chunk 99
2025-11-25T05:06:11.219098,Data Fetching,61.66,24.81,INFO,Executing Data Fetching - processed chunk 97
2025-11-25T05:06:16.219098,Data Fetching,85.80,10.69,INFO,Executing Data Fetching - processed chunk 10
2025-11-25T05:06:20.219098,Data Fetching,78.81,21.56,INFO,Executing Data Fetching - processed chunk 47
2025-11-25T05:06:38.219098,Data Fetching,57.16,0.40,INFO,Executing Data Fetching - processed chunk 23
2025-11-25T05:06:50.219098,Data Fetching,62.13,36.77,INFO,Executing Data Fetching - processed chunk 69
2025-11-25T05:06:55.219098,Processing,92.28,0.96,INFO,Executing Processing - processed chunk 55
2025-11-25T05:07:05.219098,Processing,99.25,25.28,ERROR,Executing Processing - processed chunk 32
2025-11-25T05:07:09.219098,Processing,54.39,23.80,INFO,Executing Processing - processed chunk 61
2025-11-25T05:07:18.219098,Processing,20.45,39.86,INFO,Executing Processing - processed chunk 90
2025-11-25T05:07:36.219098,Processing,78.36,13.87,ERROR,Executing Processing - processed chunk 47
2025-11-25T05:07:40.219098,Processing,7.03,38.85,INFO,Executing Processing - processed chunk 80
2025-11-25T05:07:45.219098,Processing,96.51,1.21,INFO,Executing Processing - processed chunk 100
2025-11-25T05:07:57.219098,Processing,89.25,0.23,ERROR,Executing Processing - processed chunk 51
2025-11-25T05:08:06.219098,Processing,86.47,4.02,INFO,Executing Processing - processed chunk 98
2025-11-25T05:08:19.219098,Processing,91.40,1.13,INFO,Executing Processing - processed chunk 65
2025-11-25T05:08:24.219098,Processing,65.71,15.50,INFO,Executing Processing - processed chunk 50
2025-11-25T05:08:42.219098,Processing,67.22,43.33,INFO,Executing Processing - processed chunk 47
2025-11-25T05:09:01.219098,Processing,34.03,4.64,INFO,Executing Processing - processed chunk 98
2025-11-25T05:09:04.219098,Processing,28.70,35.40,INFO,Executing Processing - processed chunk 34
2025-11-25T05:09:46.219098,Validation,7.88,5.43,INFO,Executing Validation - processed chunk 97
2025-11-25T05:10:06.219098,Validation,35.47,48.58,INFO,Executing Validation - processed chunk 63
2025-11-25T05:10:16.219098,Validation,63.38,3.80,INFO,Executing Validation - processed chunk 36
2025-11-25T05:10:43.219098,Validation,35.31,27.61,INFO,Executing Validation - processed chunk 46
2025-11-25T05:11:00.219098,Validation,88.81,18.51,INFO,Executing Validation - processed chunk 72
2025-11-25T05:11:39.219098,Validation,66.13,6.15,INFO,Executing Validation - processed chunk 56
2025-11-25T05:12:13.219098,Archiving,20.74,34.15,INFO,Executing Archiving - processed chunk 64
2025-11-25T05:13:00.219098,Archiving,41.20,23.50,ERROR,Executing Archiving - processed chunk 31
2025-11-25T05:13:13.219098,Archiving,82.73,39.14,INFO,Executing Archiving - processed chunk 35
2025-11-25T05:13:50.219098,Archiving,36.18,33.36,INFO,Executing Archiving - processed chunk 35
2025-11-25T05:14:21.219098,Archiving,55.35,0.55,INFO,Executing Archiving - processed chunk 41
