timestamp,step_name,metric_a_value,metric_b_value,log_level,message
2025-11-20T20:03:45.219098,Initialization,17.45,24.14,INFO,Executing Initialization - processed chunk 5
2025-11-20T20:04:03.219098,Initialization,32.85,27.26,ERROR,Executing Initialization - processed chunk 38
2025-11-20T20:04:14.219098,Initialization,94.53,42.18,INFO,Executing Initialization - processed chunk 72
2025-11-20T20:04:38.219098,Initialization,90.61,16.59,INFO,Executing Initialization - processed chunk 5
2025-11-20T20:05:01.219098,Initialization,50.04,2.61,ERROR,Executing Initialization - processed chunk 82
2025-11-20T20:05:23.219098,Initialization,8.87,46.64,INFO,Executing Initialization - processed chunk 26
2025-11-20T20:05:49.219098,Initialization,81.85,5.00,INFO,Executing Initialization - processed chunk 6
2025-11-20T20:06:09.219098,Initialization,90.75,32.79,INFO,Executing Initialization - processed chunk 45
2025-11-20T20:06:34.219098,Initialization,91.19,1.54,ERROR,Executing Initialization - processed chunk 56
2025-11-20T20:06:35.219098,Initialization,60.83,21.83,INFO,Executing Initialization - processed chunk 95
2025-11-20T20:06:42.219098,Initialization,33.35,31.14,INFO,Executing Initialization - processed chunk 33
2025-11-20T20:07:09.219098,Initialization,45.91,4.60,ERROR,Executing Initialization - processed chunk 52
2025-11-20T20:07:15.219098,Initialization,27.06,24.21,ERROR,Executing Initialization - processed chunk 81
2025-11-20T20:07:31.219098,Data Fetching,22.48,8.33,ERROR,Executing Data Fetching - processed chunk 20
2025-11-20T20:07:47.219098,Data Fetching,76.14,3.94,ERROR,Executing Data Fetching - processed chunk 98
2025-11-20T20:08:12.219098,Data Fetching,75.11,31.24,INFO,Executing Data Fetching - processed chunk 14
2025-11-20T20:08:20.219098,Data Fetching,19.35,48.08,ERROR,Executing Data Fetching - processed chunk 13
2025-11-20T20:08:23.219098,Data Fetching,41.13,9.00,INFO,Executing Data Fetching - processed chunk 26
2025-11-20T20:08:31.219098,Data Fetching,21.03,27.64,INFO,Executing Data Fetching - processed chunk 9
2025-11-20T20:08:48.219098,Data Fetching,32.79,1.72,INFO,Executing Data Fetching - processed chunk 17
2025-11-20T20:09:11.219098,Data Fetching,17.53,3.70,INFO,Executing Data Fetching - processed chunk 89
2025-11-20T20:09:19.219098,Data Fetching,73.79,13.66,INFO,Executing Data Fetching - processed chunk 20
2025-11-20T20:09:44.219098,Data Fetching,62.74,36.98,INFO,Executing Data Fetching - processed chunk 41
