job_id,job_name,status,start_time,end_time,duration_seconds,total_records,error_count
9a074b1e-5b32-4051-8e33-e2252d35a016,Batch_Process_4,WARNING,2025-11-27T08:03:36.219098,2025-11-27T08:55:19.219098,3103,9119,8
feb8169f-7993-4eae-a689-6ee3977186a4,Batch_Process_3,SUCCESS,2025-12-06T23:03:36.219098,2025-12-06T23:42:07.219098,2311,2313,0
02c1d3e6-8a5b-4859-aa90-20e141e4370b,Batch_Process_1,SUCCESS,2025-12-08T13:03:36.219098,2025-12-08T13:40:13.219098,2197,4167,0
a85e8d3f-8aaf-4aca-ad3a-4336fecb207d,Batch_Process_3,SUCCESS,2025-12-18T03:03:36.219098,2025-12-18T03:15:01.219098,685,2019,0
f7e26450-b7f5-4776-b666-5d40592e5c08,Batch_Process_3,SUCCESS,2025-11-24T16:03:36.219098,2025-11-24T16:37:48.219098,2052,5659,0
cf4f07d7-cc40-470e-aac4-4805f9bdc50e,Batch_Process_2,WARNING,2025-11-20T16:03:36.219098,2025-11-20T16:33:27.219098,1791,7841,49
3b77dc5e-8747-4768-9bf8-5f834482b799,Batch_Process_1,FAILURE,2025-11-26T00:03:36.219098,2025-11-26T00:35:28.219098,1912,3022,22
3e462bcf-911b-46c6-9899-f2ec56120896,Batch_Process_1,SUCCESS,2025-12-17T14:03:36.219098,2025-12-17T14:11:09.219098,453,4953,0
b875a27f-1f80-4ad6-a24c-2e9a8fad24ae,Batch_Process_3,SUCCESS,2025-12-06T13:03:36.219098,2025-12-06T13:50:20.219098,2804,6077,0
9252806f-8a1d-4b34-a1fa-f701e3ea96ff,Batch_Process_1,WARNING,2025-12-02T10:03:36.219098,2025-12-02T10:54:54.219098,3078,5581,43
840e2671-4afa-479a-92ca-e4b6964ab41d,Batch_Process_5,SUCCESS,2025-11-23T10:03:36.219098,2025-11-23T11:02:58.219098,3562,4082,0
9ec062ce-37ed-4a15-9f13-c8489ee6d4ad,Batch_Process_3,FAILURE,2025-11-20T20:03:36.219098,2025-11-20T20:33:34.219098,1798,8472,18
8161f4ad-0f60-4a4e-a223-3c2c766c7cc4,Batch_Process_5,FAILURE,2025-11-25T05:03:36.219098,2025-11-25T05:26:00.219098,1344,8755,21
31faa96f-4866-42ac-bb75-078852910590,Batch_Process_3,FAILURE,2025-12-09T12:03:36.219098,2025-12-09T12:40:22.219098,2206,9984,19
990e63c2-9c67-421f-be28-866acd848245,Batch_Process_4,FAILURE,2025-12-15T13:03:36.219098,2025-12-15T13:40:54.219098,2238,2142,37
fd8dc849-e14c-4936-8eff-e91ad960c7ed,Batch_Process_3,SUCCESS,2025-11-28T18:03:36.219098,2025-11-28T18:07:06.219098,210,3576,0
1d1ed7aa-3ba5-498d-b343-e523c33f99a5,Batch_Process_4,WARNING,2025-12-13T08:03:36.219098,2025-12-13T08:08:13.219098,277,7038,29
9d2e4266-e820-4f0f-92a4-3f4fdc3d4cee,Batch_Process_1,WARNING,2025-12-03T13:03:36.219098,2025-12-03T13:39:09.219098,2133,6336,28
043818c1-322d-447f-8ec2-fabeeb01bc65,Batch_Process_2,SUCCESS,2025-11-20T23:03:36.219098,2025-11-20T23:25:21.219098,1305,1930,0
fb9e2179-c39c-43f6-a39b-91896c69a197,Batch_Process_2,SUCCESS,2025-11-22T11:03:36.219098,2025-11-22T11:13:57.219098,621,8313,0
