job_id,run_id,recipe_id,start,end,duration_h,production_time_h,idle_time_h,production_ratio,transition_count,exits_from_prod_state,warnings,errors,all_warning_names,all_error_names,state_0_time_s,state_1_time_s,state_2_time_s,state_3_time_s,state_4_time_s,state_5_time_s,state4_Active_ActProcVal_All_MainDrive_ActSpeed_p50,state4_Active_ActProcVal_All_MainDrive_ActSpeed_max,state4_Active_ActProcVal_All_MainDrive_ActTorquePercent_p50,state4_Active_ActProcVal_All_MainDrive_ActTorquePercent_max,state4_Active_ActProcVal_All_MainDrive_ActThroughput_p50,state4_Active_ActProcVal_All_MainDrive_ActThroughput_max,state4_Active_ActProcVal_All_MainDrive_ActPower_p50,state4_Active_ActProcVal_All_MainDrive_ActPower_max,state4_Active_ActProcVal_All_MainDrive_ActSME_p50,state4_Active_ActProcVal_All_MainDrive_ActSME_max,state4_Active_ActProcVal_All_Endplate_ActPressure_p50,state4_Active_ActProcVal_All_Endplate_ActPressure_max
610592ff-dcbe-4f1d-8eb4-f593c5d7ac78,1,Recipe_B,2025-12-15T15:25:54.801963,2025-12-15T16:20:54.801963,0.9167,0.2281,0.1325,0.2488,127,24,24,9,Warning_7|Warning_3|Warning_8|Warning_2|Warning_1|Warning_9|Warning_5|Warning_10|Warning_6|Warning_4,Error_7|Error_8|Error_2|Error_9|Error_4|Error_6,477.0,485.0,508.0,527.0,821.0,482.0,100.05,120.35,50.14,67.92,50.15,66.66,50.07,64.86,50.22,65.03,50.46,65.83
610592ff-dcbe-4f1d-8eb4-f593c5d7ac78,2,Recipe_B,2025-12-15T16:50:54.801963,2025-12-15T18:43:54.801963,1.8833,0.3725,0.3081,0.1978,255,47,40,16,Warning_5|Warning_1|Warning_9|Warning_4|Warning_8|Warning_6|Warning_7|Warning_3|Warning_2|Warning_10,Error_9|Error_2|Error_4|Error_1|Error_3|Error_7|Error_10|Error_5|Error_6,1109.0,1174.0,1132.0,800.0,1341.0,1224.0,99.95,120.88,50.25,71.34,50.05,71.48,50.13,67.17,49.88,68.23,50.19,66.75
610592ff-dcbe-4f1d-8eb4-f593c5d7ac78,3,Recipe_B,2025-12-15T19:27:54.801963,2025-12-15T20:28:54.801963,1.0167,0.2164,0.1625,0.2128,150,32,27,7,Warning_5|Warning_7|Warning_6|Warning_2|Warning_3|Warning_1|Warning_10|Warning_4|Warning_9,Error_9|Error_8|Error_3|Error_5|Error_7,585.0,800.0,253.0,382.0,779.0,861.0,100.13,117.67,50.14,64.31,49.99,64.65,49.96,66.17,49.6,66.37,50.03,66.85
0e473c70-f5dd-4556-bcac-a92e092ba2bf,4,Recipe_C,2025-12-15T20:56:54.801963,2025-12-15T22:37:54.801963,1.6833,0.2603,0.3081,0.1546,266,43,55,11,Warning_1|Warning_2|Warning_6|Warning_8|Warning_9|Warning_3|Warning_5|Warning_4|Warning_7|Warning_10,Error_1|Error_9|Error_5|Error_7|Error_3|Error_2|Error_10|Error_4,1109.0,769.0,898.0,1425.0,937.0,922.0,99.67,116.22,49.96,62.83,50.17,69.16,49.93,66.94,49.86,73.11,50.33,66.46
0e473c70-f5dd-4556-bcac-a92e092ba2bf,5,Recipe_C,2025-12-15T23:16:54.801963,2025-12-16T00:43:54.801963,1.45,0.2367,0.2553,0.1632,222,36,33,12,Warning_2|Warning_4|Warning_9|Warning_7|Warning_8|Warning_5|Warning_6|Warning_3|Warning_10|Warning_1,Error_3|Error_7|Error_6|Error_9|Error_2|Error_10,919.0,875.0,834.0,768.0,852.0,972.0,99.92,116.43,50.1,65.32,50.02,65.22,49.79,65.33,50.26,65.9,50.09,64.24
0e473c70-f5dd-4556-bcac-a92e092ba2bf,6,Recipe_C,2025-12-16T01:40:54.801963,2025-12-16T02:59:54.801963,1.3167,0.2789,0.1869,0.2118,231,34,32,8,Warning_2|Warning_7|Warning_4|Warning_5|Warning_1|Warning_8|Warning_10|Warning_6|Warning_9,Error_9|Error_4|Error_5|Error_1|Error_8,673.0,665.0,952.0,511.0,1004.0,935.0,100.14,116.45,50.28,65.31,50.01,65.46,49.95,66.66,50.07,67.17,50.15,63.6
d130d94a-2fc1-42f4-b9cc-3257bb6c7bac,7,Recipe_C,2025-12-16T03:57:54.801963,2025-12-16T04:42:54.801963,0.75,0.125,0.1317,0.1667,121,18,19,6,Warning_10|Warning_6|Warning_3|Warning_1|Warning_8|Warning_5|Warning_7|Warning_2|Warning_4|Warning_9,Error_1|Error_4|Error_2|Error_6|Error_10,474.0,408.0,440.0,516.0,450.0,412.0,99.95,116.24,50.27,64.96,49.94,62.38,49.78,62.78,49.84,62.38,49.52,66.64
d130d94a-2fc1-42f4-b9cc-3257bb6c7bac,8,Recipe_C,2025-12-16T04:55:54.801963,2025-12-16T06:51:54.801963,1.9333,0.4375,0.2286,0.2263,316,66,59,7,Warning_8|Warning_2|Warning_10|Warning_6|Warning_4|Warning_1|Warning_5|Warning_3|Warning_7|Warning_9,Error_7|Error_3|Error_9|Error_5|Error_2,823.0,1095.0,1337.0,1009.0,1575.0,1121.0,99.84,113.54,50.06,66.56,50.05,63.89,50.06,66.54,49.88,65.65,49.91,65.67
d130d94a-2fc1-42f4-b9cc-3257bb6c7bac,9,Recipe_C,2025-12-16T07:12:54.801963,2025-12-16T07:50:54.801963,0.6333,0.1117,0.0783,0.1763,93,14,19,3,Warning_4|Warning_6|Warning_2|Warning_10|Warning_8|Warning_9|Warning_1|Warning_7,Error_10|Error_5|Error_4,282.0,305.0,279.0,534.0,402.0,478.0,100.08,113.04,49.46,63.67,49.92,63.08,49.91,61.01,50.45,66.82,49.88,63.81
455da03b-a6a4-4f92-a874-dc44e968f89c,10,Recipe_A,2025-12-16T08:03:54.801963,2025-12-16T08:45:54.801963,0.7,0.0681,0.1678,0.0972,97,12,12,3,Warning_6|Warning_8|Warning_9|Warning_1|Warning_10,Error_10|Error_9,604.0,404.0,429.0,499.0,245.0,339.0,99.86,112.9,50.14,68.92,49.4,62.68,50.34,61.73,49.86,62.4,50.17,66.17
